DOI,Abstract,Index Keywords,Source title,Year
https://doi.org/10.1108/ijchm-08-2023-1271,"Purpose The technology acceptance model (TAM) is a widely used framework explaining why users accept new technologies. Still, its relevance is questioned because of evolving consumer behavior, demographics and technology. Contrary to a research paper or systematic literature review, the purpose of this critical reflection paper is to discuss TAM's relevance and limitations in hospitality and tourism research. Design/methodology/approach This paper uses a critical reflective approach, enabling a comprehensive review and synthesis of recent academic literature on TAM. The critical evaluation encompasses its historical trajectory, evolutionary growth, identified limitations and, more specifically, its relevance in the context of hospitality and tourism research. Findings TAM's limitations within the hospitality and tourism context revolve around its individual-centric perspective, limited scope, static nature, cultural applicability and reliance on self-reported measures. Research limitations/implications To optimize TAM's efficacy, the authors propose several strategic recommendations. These include embedding TAM within the specific context of the industry, delving into TAM-driven artificial intelligence adoption, integrating industry-specific factors, acknowledging cultural nuances and using comprehensive research methods, such as mixed methods approach. It is imperative for researchers to critically assess TAM's suitability for their studies and be open to exploring alternative models or methods that can adeptly navigate the distinctive dynamics of the industry. Originality/value This critical reflection paper prompts a profound exploration of technology adoption within the dynamic hospitality and tourism sector, makes insightful inquiries into TAM's future potential and presents recommendations.",Hospitality;Relevance;Scope (computer science);Technology Acceptance Model;Hospitality management studies,Is it the end of the technology acceptance model in the era of generative artificial intelligence?,2024
https://doi.org/10.1145/3613904.3642114,"Among creative professionals, Generative Artificial Intelligence (GenAI) has sparked excitement over its capabilities and fear over unanticipated consequences. How does GenAI impact User Experience Design (UXD) practice, and are fears warranted? We interviewed 20 UX Designers, with diverse experience and across companies (startups to large enterprises). We probed them to characterize their practices, and sample their attitudes, concerns, and expectations. We found that experienced designers are confident in their originality, creativity, and empathic skills, and find GenAI's role as assistive. They emphasized the unique human factors of ""enjoyment"" and ""agency"", where humans remain the arbiters of ""AI alignment''. However, skill degradation, job replacement, and creativity exhaustion can adversely impact junior designers. We discuss implications for human-GenAI collaboration, specifically copyright and ownership, human creativity and agency, and AI literacy and access. Through the lens of responsible and participatory AI, we contribute a deeper understanding of GenAI fears and opportunities for UXD.",Creativity;Agency (philosophy);Originality;Perception;Psychology;Generative grammar;User experience design;Literacy;Citizen journalism;Knowledge management;Applied psychology;Computer science;Social psychology;Human–computer interaction;Sociology;Pedagogy;Artificial intelligence;World Wide Web;Neuroscience;Social science,User Experience Design Professionals’ Perceptions of Generative Artificial Intelligence,2024
https://doi.org/10.1080/02602938.2024.2335321,"Generative artificial intelligence (AI) has rapidly increased capacity for producing textual, visual and auditory outputs, yet there are ongoing concerns regarding the quality of those outputs. There is an urgent need to develop students' evaluative judgement – the capability to judge the quality of work of self and others – in recognition of this new reality. In this conceptual paper, we describe the intersection between evaluative judgement and generative AI with a view to articulating how assessment practices can help students learn to work productively with generative AI. We propose three foci: (1) developing evaluative judgement of generative AI outputs; (2) developing evaluative judgement of generative AI processes; and (3) generative AI assessment of student evaluative judgements. We argue for developing students' capabilities to identify and calibrate quality of work – uniquely human capabilities at a time of technological acceleration – through existing formative assessment strategies. These approaches circumvent and interrupt students' uncritical usage of generative AI. The relationship between evaluative judgement and generative AI is more than just the application of human judgement to machine outputs. We have a collective responsibility, as educators and learners, to ensure that humans do not relinquish their roles as arbiters of quality.",Judgement,Developing evaluative judgement for a time of generative artificial intelligence,2024
https://doi.org/10.1177/00218863231168974,"In this scoping essay, we discuss the potential for generative artificial intelligence (GAI) to shape the work of organizational change, development, or strategy implementation professionals. Using a case example of a culture change initiative, we illustrate how practitioners can benefit from using GAI tools to augment relevant change activities in planning initiative content and roll-out, mobilizing stakeholders, and monitoring initiative progress. We conclude with a reflection on the limitations of GAI systems and outline directions for future research related to (1) stakeholder responses to GAI, (2) GAI impact on the nature of change work, and (3) GAI value creation for change work and unintended consequences of GAI use.",Generative model;Culture change;Managing change;Value (mathematics);Planned change;Unintended consequences,Augmenting Organizational Change and Strategy Activities: Leveraging Generative Artificial Intelligence,2023
https://doi.org/10.17705/1jais.00860,"The discourse surrounding the societal impacts of generative artificial intelligence (GAI), exemplified by technologies like ChatGPT, often oscillates between extremes: utopian visions of unprecedented productivity and dystopian fears of humanity’s demise. This polarized perspective neglects the nuanced, pragmatic manifestation of GAI. In general, extreme views oversimplify the technology itself or its potential to address societal issues. The authors suggest a more balanced analysis, acknowledging that GAI’s impacts will unfold dynamically over time as diverse implementations interact with human stakeholders and contextual factors. While Big Tech firms dominate GAI’s supply, its demand is expected to evolve through experimentation and use cases. The authors argue that GAI’s societal impact depends on identifiable contingencies, emphasizing three broad factors: the balance between automation and augmentation, the congruence of physical and digital realities, and the retention of human bounded rationality. These contingencies represent trade-offs arising from GAI instantiations, shaped by technological advancements, stakeholder dynamics, and contextual factors, including societal responses and regulations. Predicting long-term societal effects remains challenging due to unforeseeable discontinuities in the technology’s trajectory. The authors anticipate a continuous interplay between GAI initiatives, technological advances, learning experiences, and societal responses, with outcomes depending on the above contingencies.",Bounded rationality;Technological determinism;Futures studies;Vision;Dystopia;Transhumanism,The Societal Impacts of Generative Artificial Intelligence: A Balanced Perspective,2024
https://doi.org/10.2139/ssrn.4614223,"Generative Artificial Intelligence (GenAI) and Large Language Models (LLMs) are marvels of technology; celebrated for their prowess in natural language processing and multimodal content generation, they promise a transformative future. But as with all powerful tools, they come with their shadows. Picture living in a world where deepfakes are indistinguishable from reality, where synthetic identities orchestrate malicious campaigns, and where targeted misinformation or scams are crafted with unparalleled precision. Welcome to the darker side of GenAI applications.This article is not just a journey through the meanders of potential misuse of GenAI and LLMs, but also a call to recognize the urgency of the challenges ahead. As we navigate the seas of misinformation campaigns, malicious content generation, and the eerie creation of sophisticated malware, we'll uncover the societal implications that ripple through the GenAI revolution we are witnessing. From AI-powered botnets on social media platforms to the unnerving potential of AI to generate fabricated identities, or alibis made of synthetic realities, the stakes have never been higher.The lines between the virtual and the real worlds are blurring, and the consequences of potential GenAI's nefarious applications impact us all. This article serves both as a synthesis of rigorous research presented on the risks of GenAI and misuse of LLMs and as a thought-provoking vision of the different types of harmful GenAI applications we might encounter in the near future, and some ways we can prepare for them.",Humanity;Generative grammar;Artificial intelligence;Computer science;Cognitive science;Epistemology;Philosophy;Psychology;Theology,GenAI Against Humanity: Nefarious Applications of Generative Artificial Intelligence and Large Language Models,2023
https://doi.org/10.1007/s11528-023-00926-x,"The release of Generative Artificial Intelligence (GenAI) tools like ChatGPT has sparked vigorous discussion about its potential effects on education. Depending on what you read, GenAI will have an effect somewhere between solving all of education’s problems and destroying learning and education completely. The claim that a new technology can and will solve all of education’s problems is not new, though history tells us that these so-called technological silver bullets have not produced the predicted outcomes (see Thomas Edison’s claims about the phonograph and moving pictures (1878, 1888) or Norman (n.d.)). Is GenAI different? Will it destroy education as we know it? GenAI is fundamentally different from other technologies of the last 20 + years due to its ability to generate original written work that is virtually indistinguishable from that of human authors. While this capability has disruptive implications for education, it is not likely to destroy it. It may, though, destroy the legitimacy of some long-held educational practices.",Generative grammar;Instructional design;Educational technology;Computer science;Artificial intelligence;Knowledge management;Engineering management;Mathematics education;Multimedia;Engineering;Psychology,Innovation of Instructional Design and Assessment in the Age of Generative Artificial Intelligence,2023
https://doi.org/10.1111/1467-8551.12824,"Abstract As businesses and society navigate the potentials of generative artificial intelligence (GAI), the integration of these technologies introduces unique challenges and opportunities for human resources, requiring a re‐evaluation of human resource management (HRM) frameworks. The existing frameworks may often fall short of capturing the novel attributes, complexities and impacts of GAI on workforce dynamics and organizational operations. This paper proposes a strategic HRM framework, underpinned by the theory of institutional entrepreneurship for sustainable organizations, for integrating GAI within HRM practices to boost operational efficiency, foster innovation and secure a competitive advantage through responsible practices and workforce development. Central to this framework is the alignment with existing business objectives, seizing opportunities, strategic resource assessment and orchestration, re‐institutionalization, realignment and embracing a culture of continuous learning and adaptation. This approach provides a detailed roadmap for organizations to navigate successfully the complexities of a GAI‐enhanced business environment. Additionally, this paper significantly contributes to the theoretical discourse by bridging the gap between HRM and GAI adoption, the proposed framework accounting for GAI–human capital symbiosis, setting the stage for future research to empirically test its applicability, explore its implications on HRM practices and understand its broader economic and societal consequences through diverse multi‐disciplinary and multi‐level research methodologies.",Orchestration,Generative Artificial Intelligence in Business: Towards a Strategic Human Resource Management Framework,2024
https://doi.org/10.1287/orsc.2023.18441,"Generative artificial intelligence (AI) holds the potential to either complement workers by enhancing their productivity or substitute them. We examine the short-term effects of the recently released generative AI models (ChatGPT, DALL-E 2, and Midjourney) on the employment outcomes of freelancers on a large online platform. We find that freelancers in highly affected occupations suffer from the introduction of generative AI, experiencing reductions in both employment and earnings. We find similar effects studying the release of other image-based generative AI models. Exploring the heterogeneity by freelancers’ employment history, we do not find evidence that high-quality service, measured by their past performance and employment, moderates the adverse effects on employment. In fact, we find suggestive evidence that top freelancers are disproportionately affected by AI. These results suggest that generative AI may transform the role of human capital in the organization and reduce overall demand for workers.",Generative grammar;Term (time);Industrial organization;Artificial intelligence;Labour economics;Business;Economics;Computer science;Physics;Quantum mechanics,The Short-Term Effects of Generative Artificial Intelligence on Employment: Evidence from an Online Labor Market,2024
https://doi.org/10.1016/j.heliyon.2024.e24727,"In the digital age, where information is a cornerstone for decision-making, social media's not-so-regulated environment has intensified the prevalence of fake news, with significant implications for both individuals and societies. This study employs a bibliometric analysis of a large corpus of 9678 publications spanning 2013–2022 to scrutinize the evolution of fake news research, identifying leading authors, institutions, and nations. Three thematic clusters emerge: Disinformation in social media, COVID-19-induced infodemics, and techno-scientific advancements in auto-detection. This work introduces three novel contributions: 1) a pioneering mapping of fake news research to Sustainable Development Goals (SDGs), indicating its influence on areas like health (SDG 3), peace (SDG 16), and industry (SDG 9); 2) the utilization of Prominence percentile metrics to discern critical and economically prioritized research areas, such as misinformation and object detection in deep learning; and 3) an evaluation of generative AI's role in the propagation and realism of fake news, raising pressing ethical concerns. These contributions collectively provide a comprehensive overview of the current state and future trajectories of fake news research, offering valuable insights for academia, policymakers, and industry.",Generative grammar;Sustainable development;Engineering ethics;Artificial intelligence;Data science;Political science;Engineering;Psychology;Computer science;Law,"Fake news research trends, linkages to generative artificial intelligence and sustainable development goals",2024
https://doi.org/10.1080/01930826.2024.2292484,"In this article, we provide a brief overview of generative artificial intelligence (GenAI) and large language models (LLMs). We then propose eight critical questions that libraries should ask when exploring this technology and its implications for their communities. We argue that libraries have a unique role in facilitating informed and responsible use of GenAI, as well as safeguarding and promoting the values of access, privacy, and intellectual freedom.",Safeguarding;Generative model;Intellectual freedom,Generative Artificial Intelligence: 8 Critical Questions for Libraries,2024
